rut,name,lastname,password,birthdate,address,phone_number,position
1,Maite,Flores,1,2000-8-18,Valparaíso,+56 9 1,tecnologo_medico
2,Amanda,Castro,2,1996-7-10,Talca,+56 9 2,tecnologo_medico
3,Mateo,Díaz,3,1999-6-5,Punta Arenas,+56 9 3,medico_radiologo
4,Sofía,González,4,2000-4-16,Concepción,+56 9 4,tens
5,Maite,Herrera,5,1999-9-8,Viña del Mar,+56 9 5,medico_radiologo
6,Benjamín,Flores,6,2000-12-20,Concepción,+56 9 6,secretaria_unidad
7,Antonella,Torres,7,1993-8-21,Temuco,+56 9 7,secretaria_unidad
8,Martina,Fernández,8,1996-7-14,La Serena,+56 9 8,jefe_unidad
9,Sebastián,López,9,1997-4-7,Arica,+56 9 9,tecnologo_medico
10,Sebastián,Herrera,10,1991-10-9,Punta Arenas,+56 9 10,secretaria_unidad
11,Amanda,González,11,1999-1-19,Talca,+56 9 11,tecnologo_medico
12,Maite,Fernández,12,1997-5-14,Rancagua,+56 9 12,jefe_unidad
13,Emilia,Valenzuela,13,1997-5-3,Talca,+56 9 13,tecnologo_medico
14,Isidora,Rodríguez,14,1997-7-19,Concepción,+56 9 14,medico_radiologo
15,Maite,Contreras,15,1997-1-25,Valdivia,+56 9 15,tens
16,Vicente,Rojas,16,1999-11-13,Temuco,+56 9 16,tecnologo_medico
17,Isidora,Silva,17,1996-5-28,Punta Arenas,+56 9 17,tecnologo_medico
18,Sebastián,Ramírez,18,1999-2-25,Arica,+56 9 18,tens
19,Benjamín,Castro,19,1994-1-23,Talca,+56 9 19,tecnologo_medico
20,Martina,Soto,20,1997-1-15,Talca,+56 9 20,tecnologo_medico
21,Emilia,Rojas,21,1999-8-22,Viña del Mar,+56 9 21,tecnologo_medico
22,Mateo,Valenzuela,22,1993-4-20,Talca,+56 9 22,medico_radiologo
23,Vicente,Martínez,23,1991-1-13,Concepción,+56 9 23,tecnologo_medico
24,Maite,Pérez,24,1997-7-11,La Serena,+56 9 24,secretaria_unidad
25,Sofía,Sánchez,25,1998-9-24,Chillán,+56 9 25,tens
26,Amanda,Pérez,26,1992-2-24,Punta Arenas,+56 9 26,secretaria_unidad
27,Amanda,Espinoza,27,1997-2-12,Rancagua,+56 9 27,tecnologo_medico
28,Emma,Espinoza,28,1995-5-6,Iquique,+56 9 28,tecnologo_medico
29,Santiago,Muñoz,29,1993-9-2,Punta Arenas,+56 9 29,medico_radiologo
30,Josefa,Silva,30,2000-3-7,Punta Arenas,+56 9 30,tens
31,Josefa,Herrera,31,1999-4-27,Punta Arenas,+56 9 31,tecnologo_medico
32,Agustín,Espinoza,32,1991-2-17,Valparaíso,+56 9 32,secretaria_unidad
33,Maite,Soto,33,1995-4-8,Valparaíso,+56 9 33,tens
34,Florencia,Espinoza,34,1993-5-22,La Serena,+56 9 34,tecnologo_medico
35,Amanda,Muñoz,35,1991-2-13,Punta Arenas,+56 9 35,tecnologo_medico
36,Amanda,Díaz,36,1992-10-9,Iquique,+56 9 36,medico_radiologo
37,Antonella,González,37,1994-1-18,Valdivia,+56 9 37,medico_radiologo
38,Sofía,Castro,38,1997-9-12,Valdivia,+56 9 38,secretaria_unidad
39,Benjamín,Valenzuela,39,1995-9-14,Concepción,+56 9 39,tens
40,Maite,Silva,40,1998-6-14,La Serena,+56 9 40,secretaria_unidad
41,Emilia,Pérez,41,1999-5-7,Puerto Montt,+56 9 41,tecnologo_medico
42,Joaquín,Soto,42,1997-9-28,La Serena,+56 9 42,medico_radiologo
43,Joaquín,Díaz,43,1994-5-18,Puerto Montt,+56 9 43,jefe_unidad
